,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
0,WO/2024/068585,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/076468,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming at least a part of a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure in a shaping unit comprising a forming shoulder, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface."
1,WO/2024/061575,DRY-FORMING MOULD SYSTEM AND METHOD FOR COLLECTING CELLULOSE PRODUCTS IN A DRY-FORMING MOULD SYSTEM,WO,28.03.2024,B31D 5/02,PCT/EP2023/073537,PULPAC AB,"LARSSON, Ove","A dry-forming mould system comprising a forming mould for dry-forming cellulose products from an air-formed cellulose blank structure. The forming mould comprises a first mould part and a second mould part configured for interacting with each other during dry-forming of the cellulose products from the air-formed cellulose blank structure in the forming mould. The dry-forming mould system comprises a transporting unit and a collecting unit, and the transporting unit is configured for transporting the dry-formed cellulose products from the forming mould to the collecting unit. The collecting unit comprises an elongated product flow channel configured for receiving and guiding the cellulose products, and the product flow channel is configured for receiving several consecutive cellulose products from the forming mould."
2,WO/2024/068057,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/066247,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose bottle comprises a neck portion, a closed bottom portion, and a mid-portion arranged between the closed bottom portion and the neck portion. The mid-portion is arranged in fluid communication with the neck portion. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface. A first section of the shaped cellulose blank structure is fed to a first forming mould and a semi-closed bottom portion of the cellulose bottle is formed from the first section in the first forming mould, simultaneously with forming the neck portion of a directly preceding cellulose bottle from the first section in the first forming mould. A following second section of the shaped cellulose blank structure is fed to the first forming mould and the neck portion of the cellulose bottle is formed from the second section in the first forming mould, simultaneously with forming a semi-closed bottom portion of a directly following cellulose bottle from the second section in the first forming mould."
3,WO/2024/068562,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/076428,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose bottle comprises a neck portion, a closed bottom portion, and a mid-portion arranged between the closed bottom portion and the neck portion. The mid-portion is arranged in fluid communication with the neck portion. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface. A first section of the shaped cellulose blank structure is fed to a first forming mould and a semi-closed bottom portion of the cellulose bottle is formed from the first section in the first forming mould, simultaneously with forming the neck portion of a directly preceding cellulose bottle from the first section in the first forming mould. A following second section of the shaped cellulose blank structure is fed to the first forming mould and the neck portion of the cellulose bottle is formed from the second section in the first forming mould, simultaneously with forming a semi-closed bottom portion of a directly following cellulose bottle from the second section in the first forming mould."
4,3215284,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,CA,20.10.2022,B30B 1/10,3215284,PULPAC AB,"LARSSON, OVE",Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
5,4323181,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,EP,21.02.2024,B30B 1/10,22720731,PULPAC AB,LARSSON OVE,Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
6,WO/2022/218873,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,WO,20.10.2022,B30B 1/10,PCT/EP2022/059512,PULPAC AB,"LARSSON, Ove",Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
7,WO/2021/156190,PROCESS FOR MANUFACTURING A FIBER BASED CELLULOSE WEB FOR DRY FORMING,WO,12.08.2021,D21H 27/42,PCT/EP2021/052283,SÖDRA SKOGSÄGARNA EKONOMISK FÖRENING,"BÖRJESSON, Katrin","The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; and forming said individual free dried cellulose pulp fibres into a cellulose web."
8,4100575,PROCESS FOR MANUFACTURING A FIBER BASED CELLULOSE WEB FOR DRY FORMING,EP,14.12.2022,D21H 27/42,21703858,SOEDRA SKOGSAEGARNA EKONOMISK FOERENING,BÖRJESSON KATRIN,"The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; and forming said individual free dried cellulose pulp fibres into a cellulose web."
9,3429928,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",EP,23.01.2019,B29B 13/06,17767071,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
10,3017728,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",CA,21.09.2017,B65B 43/08,3017728,PULPAC AB,"LARSSON, OVE","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
11,WO/2017/160218,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",WO,21.09.2017,B65B 43/08,PCT/SE2017/050255,PULPAC AB,"LARSSON, Ove","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
12,WO/2023/194032,A DRY-FORMING MOULD SYSTEM AND A METHOD FOR MANUFACTURING A CELLULOSE PRODUCT IN A DRY-FORMING MOULD SYSTEM,WO,12.10.2023,B27N 3/14,PCT/EP2023/055995,PULPAC AB,"HÖGBLOM, Olle","A dry-forming mould system and method for dry-forming a cellulose product from an air-formed cellulose blank structure. The dry-forming mould system comprises a first mould part and an opposing second mould part configured for cooperating with each other in a pressing direction upon forming of the cellulose product. The first mould part and the second mould part are configured for being pressed together in the pressing direction in a first pressing stroke to apply a forming pressure onto the cellulose blank structure. A flexible cutting element with a cutting edge configured for operating in the pressing direction is releasably attached to the first mould part, and the second mould part comprises an anvil plate arranged to cooperate with the cutting edge of the flexible cutting element. The flexible cutting element is configured for cutting out the cellulose product from the cellulose blank structure by pressing the cutting edge towards and in contact with the anvil plate with a predetermined cutting force, simultaneously with the first pressing stroke or in a second pressing stroke in the pressing direction after start of the first pressing stroke."
13,WO/2024/068561,METHOD FOR DRY-FORMING A CELLULOSE PRODUCT AND PRODUCT FORMING UNIT FOR DRY-FORMING A CELLULOSE PRODUCT,WO,04.04.2024,B31B 50/36,PCT/EP2023/076427,PULPAC AB,"LARSSON, Ove","A product forming unit comprising a forming mould and method for dry-forming a cellulose product from cellulose fibres in a product forming unit comprising a forming mould. The forming mould comprises upper mould parts and lower mould parts forming a forming cavity. A flexible membrane connected to and arranged in fluid communication with a pressure lance is arranged in the forming cavity. The method comprises the steps: opening the forming mould and arranging cellulose fibres into the open forming mould; closing the forming mould around the cellulose fibres, where upon closing of the forming mould, the upper mould parts are moved towards each other in a lateral direction, and the lower mould parts are moved towards each other in the lateral direction and in a longitudinal direction towards the flexible membrane; inflating the flexible membrane with a pressure medium entering from the pressure lance and applying a forming pressure onto the cellulose fibres by pressing the cellulose fibres against the upper mould parts and lower mould parts by means of the inflated flexible membrane, and applying a forming temperature onto the cellulose fibres, for dry-forming the cellulose product with a three-dimensional compressed fibre structure having a closed bottom portion and an upper portion."
14,WO/2023/194027,A METHOD FOR FORMING A CELLULOSE PRODUCT IN A DRY-FORMING MOULD SYSTEM,WO,12.10.2023,B27N 3/18,PCT/EP2023/055871,PULPAC AB,"LARSSON, Ove","A method for dry-forming a cellulose product in a dry-forming mould system from an air-formed cellulose blank structure. The dry-forming mould system comprises a forming mould having a first mould part and an opposing second mould part arranged to cooperate with each other in a pressing direction upon forming of the cellulose product. The method comprises the steps: providing the air-formed cellulose blank structure and arranging the cellulose blank structure in the forming mould between the first mould part and the second mould part, wherein the cellulose blank structure has a moisture content in the range of 4-15 wt%, preferably in the range of 6-10 wt%, when arranged between the first mould part and the second mould part; forming the cellulose product by pressing and heating the cellulose blank structure when arranged between the first mould part and the second mould part in a single pressing operation, wherein in the single pressing operation the cellulose blank structure is pressed with a forming pressure in the range of 1-100 MPa, preferably in the range of 8-20 MPa, and heated to a forming temperature in the range of 100-200 °C, preferably in the range of 120-170 °C."
15,3967615,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",EP,16.03.2022,B27N 3/04,21206499,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
16,3974135,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",EP,30.03.2022,B27N 3/04,21206500,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
17,4043353,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",EP,17.08.2022,B27N 3/04,22167476,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
18,3882167,METHOD FOR MANUFACTURING A CELLULOSE PRODUCT AND CELLULOSE PRODUCT FORMING APPARATUS,EP,22.09.2021,B27N 3/04,21162661,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
19,202347076964,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,IN,15.12.2023,B30B 1/10,202347076964,PULPAC AB,"LARSSON, Ove",Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
20,2250445,A DRY-FORMING MOULD SYSTEM AND A METHOD FOR MANUFACTURING A CELLULOSE PRODUCT IN A DRY-FORMING MOULD SYSTEM,SE,09.10.2023,B27N 5/00,2250445,PULPAC AB,ARLEROT BJÖRN,"A dry-forming mould system and method for dry-forming a cellulose product from an air-formed cellulose blank structure. The dry-forming mould system comprises a first mould part and an opposing second mould part configured for cooperating with each other in a pressing direction upon forming of the cellulose product. The first mould part and the second mould part are configured for being pressed together in the pressing direction in a first pressing stroke to apply a forming pressure onto the cellulose blank structure. A flexible cutting element with a cutting edge configured for operating in the pressing direction is releasably attached to the first mould part, and the second mould part comprises an anvil plate arranged to cooperate with the cutting edge of the flexible cutting element. The flexible cutting element is configured for cutting out the cellulose product from the cellulose blank structure by pressing the cutting edge towards and in contact with the anvil plate with a predetermined cutting force, simultaneously with the first pressing stroke or in a second pressing stroke in the pressing direction after start of the first pressing stroke."
21,WO/2024/008383,METHOD FOR TRANSPORTING A CELLULOSE BLANK STRUCTURE VIA A BUFFERING MODULE AND BUFFERING MODULE,WO,11.01.2024,B65H 20/24,PCT/EP2023/065270,PULPAC AB,"HÖGBLOM, Olle","A method for transporting an air-formed cellulose blank structure to a forming mould via a buffering module, where the cellulose blank structure has a first side and an opposite second side. The forming mould is arranged for dry-forming cellulose products from the cellulose blank structure. The buffering module comprises a first endless belt unit, a second endless belt unit, and a third endless belt unit, where the second endless belt unit is arranged in-between and in a longitudinal overlapping relationship to the first endless belt unit and the third endless belt unit. The second endless belt unit is movably arranged relative to the first endless belt unit and the third endless belt unit. The method comprises the steps: continuously feeding the cellulose blank structure on the first endless belt unit in a first feeding direction, and redirecting the cellulose blank structure to the second endless belt unit; feeding the cellulose blank structure on the second endless belt unit in a second feeding direction being at least partly opposite the first feeding direction, where the second endless belt unit alternatingly is longitudinally moved in opposite directions relative to the first endless belt unit and the third endless belt unit, and redirecting the cellulose blank structure to the third endless belt unit; intermittently feeding the cellulose blank structure on the third endless belt unit in a third feeding direction at least partly coinciding with the first feeding direction."
22,20240100798,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",US,28.03.2024,B31B 50/59,18373187,PulPac AB,Ove Larsson,"A bottle forming unit and method for dry-forming a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit is provided. A first section of the shaped cellulose blank structure is fed to a first forming mould and a semi-closed bottom portion of the cellulose bottle is formed from the first section in the first forming mould, simultaneously with forming the neck portion of a directly preceding cellulose bottle from the first section in the first forming mould. A following second section of the shaped cellulose blank structure is fed to the first forming mould and the neck portion of the cellulose bottle is formed from the second section in the first forming mould, simultaneously with forming a semi-closed bottom portion of a directly following cellulose bottle from the second section in the first forming mould."
23,WO/2024/068586,PRODUCT FORMING UNIT FOR DRY-FORMING A CELLULOSE PRODUCT AND METHOD FOR DRY-FORMING A CELLULOSE PRODUCT,WO,04.04.2024,B31B 50/36,PCT/EP2023/076469,PULPAC AB,"LARSSON, Ove","A product forming unit and method for dry-forming a cellulose product from cellulose fibres, where the product forming unit comprises a forming mould having a first mould part and a second mould part forming a forming cavity and a pressure lance comprising a first end and a second end. The second end of the pressure lance is movably arranged relative to the first mould part and/or the second mould part between a first position in the open state of the forming mould and a second position in the closed state of the forming mould."
24,20230077220,PROCESS FOR MANUFACTURING A FIBER BASED CELLULOSE WEB FOR DRY FORMING,US,09.03.2023,D21H 15/04,17797332,SÖDRA SKOGSÄGARNA EKONOMISK FÖRENING,Katrin BÖRJESSON,"The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; and forming said individual free dried cellulose pulp fibres into a cellulose web."
25,2250450,A METHOD FOR FORMING A CELLULOSE PRODUCT IN A DRY-FORMING MOULD SYSTEM,SE,09.10.2023,B27N 5/00,2250450,PULPAC AB,LARSSON OVE,"A method for dry-forming a cellulose product in a dry-forming mould system from an air-formed cellulose blank structure. The dry-forming mould system comprises a forming mould having a first mould part and an opposing second mould part arranged to cooperate with each other in a pressing direction upon forming of the cellulose product. The method comprises the steps: providing the air-formed cellulose blank structure and arranging the cellulose blank structure in the forming mould between the first mould part and the second mould part, wherein the cellulose blank structure has a moisture content in the range of 4-15 wt%, preferably in the range of 6-10 wt%, when arranged between the first mould part and the second mould part; forming the cellulose product by pressing and heating the cellulose blank structure when arranged between the first mould part and the second mould part in a single pressing operation, wherein in the single pressing operation the cellulose blank structure is pressed with a forming pressure in the range of 1-100 MPa, preferably in the range of 8-20 MPa, and heated to a forming temperature in the range of 100-200 °C, preferably in the range of 120-170 °C."
